Manufacturer,CerealName,Calories,DietaryFiber,Protein_g,Sodium,Fat,Carbs,Sugars,Potassium
Kelloggs,Mueslix_Crispy_Blend,160,3,3,150,2,17,13,160
Kelloggs,Just_Right_Fruit_&_Nut,140,2,3,170,1,20,9,95
Kelloggs,Nutri-Grain_Almond-Raisin,140,3,3,220,2,21,7,130
General Mills,Total_Raisin_Bran,140,4,3,190,1,15,14,230
General Mills,Basic_4,130,2,3,210,2,18,8,100
General Mills,Oatmeal_Raisin_Crisp,130,1.5,3,170,2,13.5,10,120
Quaker Oats,100%_Natural_Bran,120,2,3,15,5,8,8,135
Quaker Oats,Cap'n'Crunch,120,0,1,220,2,12,12,35
General Mills,Cinnamon_Toast_Crunch,120,0,1,210,3,13,9,45
Kelloggs,Fruitful_Bran,120,5,3,240,0,14,12,190
Post,Great_Grains_Pecan,120,3,3,75,3,13,4,100
Quaker Oats,Honey_Graham_Ohs,120,1,1,220,2,12,11,45
Kelloggs,Nut&Honey_Crunch,120,0,2,190,1,15,9,40
Post,Post_Nat._Raisin_Bran,120,6,3,200,1,11,14,260
Kelloggs,Raisin_Bran,120,5,3,210,1,14,12,240
Ralston Purina,Almond_Delight,110,1,2,200,2,14,8,-1
General Mills,Apple_Cinnamon_Cheerios,110,1.5,2,180,2,10.5,10,70
Kelloggs,Apple_Jacks,110,1,2,125,0,11,14,30
General Mills,Cheerios,110,2,6,290,2,17,1,105
General Mills,Clusters,110,2,3,140,2,13,7,105
General Mills,Cocoa_Puffs,110,0,1,180,1,12,13,55
Ralston Purina,Corn_Chex,110,0,2,280,0,22,3,25
Kelloggs,Corn_Pops,110,1,1,90,0,13,12,20
General Mills,Count_Chocula,110,0,1,180,1,12,13,65
Kelloggs,Cracklin'_Oat_Bran,110,4,3,140,3,10,7,160
Kelloggs,Crispix,110,1,2,220,0,21,3,30
Kelloggs,Froot_Loops,110,1,2,125,1,11,13,30
Kelloggs,Frosted_Flakes,110,1,1,200,0,14,11,25
Post,Fruity_Pebbles,110,0,1,135,1,13,12,25
General Mills,Golden_Grahams,110,0,1,280,1,15,9,45
Post,Grape-Nuts,110,3,3,170,0,17,3,90
General Mills,Honey_Nut_Cheerios,110,1.5,3,250,1,11.5,10,90
Post,Honey-comb,110,0,1,180,0,14,11,35
Kelloggs,Just_Right_Crunchy__Nuggets,110,1,2,170,1,17,6,60
General Mills,Kix,110,0,2,260,1,21,3,40
General Mills,Lucky_Charms,110,0,2,180,1,12,12,55
Ralston Purina,Rice_Chex,110,0,1,240,0,23,2,30
Kelloggs,Rice_Krispies,110,0,2,290,0,22,3,35
Kelloggs,Smacks,110,1,2,70,1,9,15,40
Kelloggs,Special_K,110,1,6,230,0,16,3,55
General Mills,Total_Corn_Flakes,110,0,2,200,1,21,3,35
General Mills,Triples,110,0,2,250,1,21,3,60
General Mills,Trix,110,0,1,140,1,13,12,25
General Mills,Wheaties_Honey_Gold,110,1,2,200,1,16,8,60
Kelloggs,Corn_Flakes,100,1,2,290,0,21,2,35
Nabisco,Cream_of_Wheat_(Quick),100,1,3,80,0,21,0,-1
General Mills,Crispy_Wheat_&_Raisins,100,2,2,140,1,11,10,120
Ralston Purina,Double_Chex,100,1,2,190,0,18,5,80
Kelloggs,Frosted_Mini-Wheats,100,3,3,0,0,14,7,100
Post,Golden_Crisp,100,0,2,45,0,11,15,40
Post,Grape_Nuts_Flakes,100,3,3,140,1,15,5,85
Quaker Oats,Life,100,2,4,150,2,12,6,95
American Home Food Products,Maypo,100,0,4,0,1,16,3,95
General Mills,Multi-Grain_Cheerios,100,2,2,220,1,15,6,90
Kelloggs,Product_19,100,1,3,320,0,20,3,45
Quaker Oats,Quaker_Oat_Squares,100,2,4,135,1,14,6,110
Quaker Oats,Quaker_Oatmeal,100,2.7,5,0,2,-1,-1,110
General Mills,Raisin_Nut_Bran,100,2.5,3,140,2,10.5,8,140
General Mills,Total_Whole_Grain,100,3,3,200,1,16,3,110
Ralston Purina,Wheat_Chex,100,3,3,230,1,17,3,115
General Mills,Wheaties,100,3,3,200,1,17,3,110
Ralston Purina,Bran_Chex,90,4,2,200,1,15,6,125
Post,Bran_Flakes,90,5,3,210,0,13,5,190
Kelloggs,Nutri-grain_Wheat,90,3,3,170,0,18,2,90
Kelloggs,Raisin_Squares,90,2,2,0,0,15,6,110
Nabisco,Shredded_Wheat_'n'Bran,90,4,3,0,0,19,0,140
Nabisco,Shredded_Wheat_spoon_size,90,3,3,0,0,20,0,120
Nabisco,Strawberry_Fruit_Wheats,90,3,2,15,0,15,5,90
Nabisco,Shredded_Wheat,80,3,2,0,0,16,0,95
Nabisco,100%_Bran,70,10,4,130,1,5,6,280
Kelloggs,All-Bran,70,9,4,260,1,7,5,320
Kelloggs,All-Bran_with_Extra_Fiber,50,14,4,140,0,8,0,330
Quaker Oats,Puffed_Rice,50,0,1,0,0,13,0,15
Quaker Oats,Puffed_Wheat,50,1,2,0,0,10,0,50
